barangay,role,name,email,password,contact,action
Calumangan,Barangay Health Worker,Oscar I. Guanzon,oscar.guanzon.calumangan@pulse-bago.demo,Pulse@CalumanganB226,09171000021,updated
Caridad,Catchment Nurse (OIC),Michelle E. Dela Cruz,michelle.delacruz.caridad@pulse-bago.demo,Pulse@CaridadCN26,09171000022,updated
Caridad,Barangay Health Worker,Sonia W. Magbanua,sonia.magbanua.caridad@pulse-bago.demo,Pulse@CaridadB126,09171000023,updated
Caridad,Barangay Health Worker,Vicente Q. Torres,vicente.torres.caridad@pulse-bago.demo,Pulse@CaridadB226,09171000024,updated
Dulao,Catchment Nurse (OIC),Aileen C. Jalandoni,aileen.jalandoni.dulao@pulse-bago.demo,Pulse@DulaoCN26,09171000025,updated
Dulao,Barangay Health Worker,Myrna K. Gatuslao,myrna.gatuslao.dulao@pulse-bago.demo,Pulse@DulaoB126,09171000026,updated
Dulao,Barangay Health Worker,Francisco B. Lizares,francisco.lizares.dulao@pulse-bago.demo,Pulse@DulaoB226,09171000027,updated
Ilijan,Catchment Nurse (OIC),Grace U. Benedicto,grace.benedicto.ilijan@pulse-bago.demo,Pulse@IlijanCN26,09171000028,updated
Ilijan,Barangay Health Worker,Teresa A. Yulo,teresa.yulo.ilijan@pulse-bago.demo,Pulse@IlijanB126,09171000029,updated
Ilijan,Barangay Health Worker,Danilo R. Henares,danilo.henares.ilijan@pulse-bago.demo,Pulse@IlijanB226,09171000030,updated
Lag-asan,Catchment Nurse (OIC),Josephine M. Locsin,josephine.locsin.lagasan@pulse-bago.demo,Pulse@LagAsanCN26,09171000031,updated
Lag-asan,Barangay Health Worker,Evelyn S. Araneta,evelyn.araneta.lagasan@pulse-bago.demo,Pulse@LagAsanB126,09171000032,updated
Lag-asan,Barangay Health Worker,Ricardo T. Montinola,ricardo.montinola.lagasan@pulse-bago.demo,Pulse@LagAsanB226,09171000033,updated
Ma-ao,Catchment Nurse (OIC),Bernadette L. Lacson,bernadette.lacson.maao@pulse-bago.demo,Pulse@MaAoCN26,09171000034,updated
Ma-ao,Barangay Health Worker,Imelda P. Zayco,imelda.zayco.maao@pulse-bago.demo,Pulse@MaAoB126,09171000035,updated
Ma-ao,Barangay Health Worker,Alfredo V. Puentevella,alfredo.puentevella.maao@pulse-bago.demo,Pulse@MaAoB226,09171000036,updated
Mailum,Catchment Nurse (OIC),Cristina H. Miraflores,cristina.miraflores.mailum@pulse-bago.demo,Pulse@MailumCN26,09171000037,updated
Mailum,Barangay Health Worker,Luzviminda D. Ledesma,luzviminda.ledesma.mailum@pulse-bago.demo,Pulse@MailumB126,09171000038,updated
Mailum,Barangay Health Worker,Mario F. Dela Cruz,mario.delacruz.mailum@pulse-bago.demo,Pulse@MailumB226,09171000039,updated
Malingin,Catchment Nurse (OIC),Stephanie J. Villanueva,stephanie.villanueva.malingin@pulse-bago.demo,Pulse@MalinginCN26,09171000040,updated
Malingin,Barangay Health Worker,Corazon N. Guanzon,corazon.guanzon.malingin@pulse-bago.demo,Pulse@MalinginB126,09171000041,updated
Malingin,Barangay Health Worker,Eduardo S. Magbanua,eduardo.magbanua.malingin@pulse-bago.demo,Pulse@MalinginB226,09171000042,updated
Napoles,Catchment Nurse (OIC),Vanessa K. Torres,vanessa.torres.napoles@pulse-bago.demo,Pulse@NapolesCN26,09171000043,updated
Napoles,Barangay Health Worker,Remedios B. Jalandoni,remedios.jalandoni.napoles@pulse-bago.demo,Pulse@NapolesB126,09171000044,updated
Napoles,Barangay Health Worker,Rogelio C. Gatuslao,rogelio.gatuslao.napoles@pulse-bago.demo,Pulse@NapolesB226,09171000045,updated
Pacol,Catchment Nurse (OIC),Dianne R. Lizares,dianne.lizares.pacol@pulse-bago.demo,Pulse@PacolCN26,09171000046,updated
Pacol,Barangay Health Worker,Estrella E. Benedicto,estrella.benedicto.pacol@pulse-bago.demo,Pulse@PacolB126,09171000047,updated
Pacol,Barangay Health Worker,Teodoro A. Yulo,teodoro.yulo.pacol@pulse-bago.demo,Pulse@PacolB226,09171000048,updated
Poblacion,Catchment Nurse (OIC),Fatima G. Henares,fatima.henares.poblacion@pulse-bago.demo,Pulse@PoblacionCN26,09171000049,updated
Poblacion,Barangay Health Worker,Consuelo I. Locsin,consuelo.locsin.poblacion@pulse-bago.demo,Pulse@PoblacionB126,09171000050,updated
Poblacion,Barangay Health Worker,Benjamin M. Araneta,benjamin.araneta.poblacion@pulse-bago.demo,Pulse@PoblacionB226,09171000051,updated
Sagasa,Catchment Nurse (OIC),Lorna P. Montinola,lorna.montinola.sagasa@pulse-bago.demo,Pulse@SagasaCN26,09171000052,updated
Sagasa,Barangay Health Worker,Milagros T. Lacson,milagros.lacson.sagasa@pulse-bago.demo,Pulse@SagasaB126,09171000053,updated
Sagasa,Barangay Health Worker,Rodolfo V. Zayco,rodolfo.zayco.sagasa@pulse-bago.demo,Pulse@SagasaB226,09171000054,updated
Sampinit,Catchment Nurse (OIC),Hazel D. Puentevella,hazel.puentevella.sampinit@pulse-bago.demo,Pulse@SampinitCN26,09171000055,updated
Sampinit,Barangay Health Worker,Aurora F. Miraflores,aurora.miraflores.sampinit@pulse-bago.demo,Pulse@SampinitB126,09171000056,updated
Sampinit,Barangay Health Worker,Generoso L. Ledesma,generoso.ledesma.sampinit@pulse-bago.demo,Pulse@SampinitB226,09171000057,updated
Bacong-Montilla,Catchment Nurse (OIC),Irene S. Dela Cruz,irene.delacruz.bacongmontilla@pulse-bago.demo,Pulse@BacongMontillaCN26,09171000058,updated
Bacong-Montilla,Barangay Health Worker,Pilar H. Villanueva,pilar.villanueva.bacongmontilla@pulse-bago.demo,Pulse@BacongMontillaB126,09171000059,updated
Bacong-Montilla,Barangay Health Worker,Cesar N. Guanzon,cesar.guanzon.bacongmontilla@pulse-bago.demo,Pulse@BacongMontillaB226,09171000060,updated
Bagroy,Catchment Nurse (OIC),Claudine B. Magbanua,claudine.magbanua.bagroy@pulse-bago.demo,Pulse@BagroyCN26,09171000061,updated
Bagroy,Barangay Health Worker,Juliana C. Torres,juliana.torres.bagroy@pulse-bago.demo,Pulse@BagroyB126,09171000062,updated
Bagroy,Barangay Health Worker,Manuel J. Jalandoni,manuel.jalandoni.bagroy@pulse-bago.demo,Pulse@BagroyB226,09171000063,updated
Don Jorge Araneta,Catchment Nurse (OIC),Elaine A. Gatuslao,elaine.gatuslao.donjorgearaneta@pulse-bago.demo,Pulse@DonJorgeAranetaCN26,09171000064,updated
Don Jorge Araneta,Barangay Health Worker,Norma E. Lizares,norma.lizares.donjorgearaneta@pulse-bago.demo,Pulse@DonJorgeAranetaB126,09171000065,updated
Don Jorge Araneta,Barangay Health Worker,Roberto K. Benedicto,roberto.benedicto.donjorgearaneta@pulse-bago.demo,Pulse@DonJorgeAranetaB226,09171000066,updated
Tabunan,Catchment Nurse (OIC),Sheila V. Yulo,sheila.yulo.tabunan@pulse-bago.demo,Pulse@TabunanCN26,09171000067,updated
Tabunan,Barangay Health Worker,Leticia R. Henares,leticia.henares.tabunan@pulse-bago.demo,Pulse@TabunanB126,09171000068,updated
Tabunan,Barangay Health Worker,Antonio I. Locsin,antonio.locsin.tabunan@pulse-bago.demo,Pulse@TabunanB226,09171000069,updated
Taloc,Catchment Nurse (OIC),Winnie M. Araneta,winnie.araneta.taloc@pulse-bago.demo,Pulse@TalocCN26,09171000070,updated
Taloc,Barangay Health Worker,Perla G. Montinola,perla.montinola.taloc@pulse-bago.demo,Pulse@TalocB126,09171000071,updated
Taloc,Barangay Health Worker,Isidro P. Lacson,isidro.lacson.taloc@pulse-bago.demo,Pulse@TalocB226,09171000072,updated
